POSITION,DEPARTMENT,MONTH_TOTAL,VACATION_13TH_SALARY,EVENTUAL PAYMENTS,PAYED_PREMIUM_LEAVE,OTHER_INDEMNITIES,WAGE_REDUCER,NET_TOTAL,STATUS,MONTH,YEAR
ASSESSOR REGULACAO DE TRANSP.,AG.REG.SV.P.DEL.TR.E.SP ARTESP,11143.15,0.0,0.0,"0,00",0.0,0.0,7017.84,ATIVOS,JANUARY,2023
TECN OPER III,FUNDACAO CASA-SP.,11075.41,2490.0,4031.52,"0,00",0.0,0.0,6801.95,ATIVOS,JULY,2023
AUX. ADMINISTRATIVO (Q.ESP),SECR.DESENVOLVIMENTO ECONOMICO,2686.29,4327.89,0.0,"0,00",0.0,0.0,5779.0,ATIVOS,JANUARY,2023
CHEFE I,DEPTO.AGUAS ENER.ELETRICA DAEE,3408.21,0.0,0.0,"0,00",0.0,0.0,3024.54,ATIVOS,AUGUST,2023
ASSESSOR ADMINISTRATIVO,C.E.ED.TEC.PAULA SOUZA-CEETEPS,2125.96,0.0,0.0,"0,00",320.83,0.0,1925.2,ATIVOS,JANUARY,2023
ASSESSOR TECNICO I,SECRETARIA DESENV. REGIONAL,3905.35,0.0,0.0,"0,00",594.55,0.0,2213.09,ATIVOS,JANUARY,2023
OPERADOR,FAC.MED.S.J.R.PRETO-FAMERP,5074.4,5285.81,0.0,"0,00",0.0,0.0,2539.51,ATIVOS,JANUARY,2023
OFICIAL ADMINISTRATIVO,HOSP.CLIN.FAC.MED.USP-HCFMUSP,1353.49,902.33,0.0,"0,00",0.0,0.0,1335.12,ATIVOS,FEBRUARY,2023
ALMOXARIFE,"FUND.REM.POP.""C.T.LIMA""-FURP",6449.72,0.0,0.0,"0,00",0.0,0.0,5091.43,ATIVOS,FEBRUARY,2023
ANALISTA DE SISTEMAS,FUND. AMP. PESQ. EST.SP FAPESP,19386.03,0.0,0.0,"0,00",0.0,0.0,13588.42,ATIVOS,APRIL,2023
TECNICO ESPECIALIZADO III,INST.PESQ.TECNOLOGICAS EST.S.P,7280.8,0.0,0.0,"0,00",0.0,0.0,1618.13,ATIVOS,JANUARY,2023
ESPEC.REGUL.FIS.SERV.PUB. III,AG.REG.SERV.PUB.EST.SP ARSESP,15838.9,0.0,0.0,"0,00",0.0,0.0,11222.45,ATIVOS,MARCH,2023
AG. ESCOLTA E VIGILANCIA PENIT,SECRET.ADMINISTR.PENITENCIARIA,10253.13,0.0,0.0,"0,00",0.0,0.0,5734.96,ATIVOS,JULY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA DE GOVERNO,2556.42,0.0,0.0,"0,00",17.6,0.0,2029.45,ATIVOS,JANUARY,2023
EXECUTIVO PUBLICO,CASA CIVIL,7249.18,0.0,0.0,"0,00",0.0,0.0,5250.9,ATIVOS,MAY,2023
TEC. EM DESENV. FUNDIARIO R1,FITESP-JOSE GOMES DA SILVA,3603.94,0.0,0.0,"0,00",0.0,0.0,3145.29,ATIVOS,JUNE,2023
ASSESSOR TECNICO V,FUND.PRO-SANGUE-HEMOCENTRO S.P,10487.06,202.14,0.0,"0,00",0.0,0.0,8064.86,ATIVOS,AUGUST,2023
MEDICO I,INST.AS.MED.SER.PUB.EST IAMSPE,15158.26,0.0,0.0,"0,00",0.0,0.0,10519.75,ATIVOS,AUGUST,2023
ASSESSOR II,FUND.AMPARO PESQ.EST.SP-FAPESP,17549.87,0.0,0.0,"0,00",1750.0,0.0,8896.03,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA DE GOVERNO,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,ATIVOS,FEBRUARY,2023
TECNICO DE ENFERMAGEM,HOSP.CLIN.FAC.MED.USP-HCFMUSP,5383.02,0.0,0.0,"0,00",0.0,0.0,4194.86,ATIVOS,MAY,2023
CHEFE DEPARTAMENTO,DESENVOLV.RODOVIARIO S/A-DERSA,26432.16,0.0,0.0,"0,00",0.0,0.0,18552.73,ATIVOS,FEBRUARY,2023
SUPERV.EQUIPE TECNICA DE SAUDE,SECRETARIA DA SAUDE,7479.81,0.0,0.0,"0,00",226.99,0.0,5806.92,ATIVOS,FEBRUARY,2023
CHEFE UNIDADE(CH UC),FUND.CONS.PR.FLOR.EST.SP F.FL.,5993.16,0.0,0.0,"0,00",0.0,0.0,4640.18,ATIVOS,JULY,2023
TECNICO EM GESTAO 13,COM.SAN.BAS.EST.S.PAULO SABESP,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,ATIVOS,MARCH,2023
ASSISTENTE TECNICO (Q.ESP),SECR.DESENVOLVIMENTO ECONOMICO,2120.94,0.0,0.0,"0,00",0.0,0.0,1267.24,ATIVOS,FEBRUARY,2023
CHEFE SERV.TEC.LAB.PATOL.CLINI,FACULDADE MED. MARILIA FAMEMA,9041.81,0.0,0.0,"0,00",0.0,0.0,6856.62,ATIVOS,JULY,2023
AUXILIAR SERV.GERAIS,DEPARTAM.ESTRADAS RODAGEM DER,2688.82,0.0,0.0,"0,00",0.0,0.0,0.0,ATIVOS,JANUARY,2023
DIRETOR DE NUCLEO,FAC.MED.S.J.R.PRETO-FAMERP,5132.69,2294.71,0.0,"0,00",0.0,0.0,6546.88,ATIVOS,FEBRUARY,2023
ASSES TEC I,CETESB-CIA.AMBIENTAL EST.S.P.,15577.1,0.0,0.0,"0,00",0.0,0.0,10241.63,ATIVOS,MARCH,2023
ADVOGADO SR,DERSA DESENVOLVIM.RODOV.S.A.,16625.27,0.0,0.0,"0,00",0.0,0.0,12106.5,ATIVOS,JUNE,2023
PROCURADOR DO ESTADO NIVEL I,PROCURADORIA GERAL DO ESTADO,37232.69,0.0,0.0,"0,00",0.0,0.0,25153.96,ATIVOS,MAY,2023
ENCARREGADO I,DEPART.ESTRADAS RODAGEM DER,4611.25,0.0,133.5,"0,00",576.6,0.0,2829.1,ATIVOS,AUGUST,2023
AUX APO GESTAO OPERACAO  30H,CIA.PROC.DADOS EST.S.P-PRODESP,4843.52,0.0,0.0,"0,00",31.75,0.0,3615.58,ATIVOS,FEBRUARY,2023
AUX APO GESTAO OPERACAO  30H,CIA.PROC.DADOS EST.S.P-PRODESP,3780.14,360.01,0.0,"0,00",930.65,0.0,2612.23,ATIVOS,JANUARY,2023
TECNICO EM MECANICA III,EMAE EMP.MET.AGUAS ENERGIA S/A,15826.84,0.0,0.0,"0,00",0.0,0.0,5421.0,ATIVOS,JUNE,2023
ASSESSOR TECNICO III,SEC.TRANSPORTES METROPOLITANOS,5229.67,0.0,0.0,"0,00",0.0,0.0,2828.3,ATIVOS,MARCH,2023
PROFESSOR DE ENSINO MED E TEC,C.E.ED.TEC.PAULA SOUZA-CEETEPS,2385.48,64.0,0.0,"0,00",0.0,0.0,137.94,ATIVOS,JANUARY,2023
OUTROS VINCULOS,INST MED SOC CRIMINO SP- IMESC,6256.05,0.0,0.0,"0,00",0.0,0.0,5032.27,ATIVOS,JULY,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROC.DADOS EST.S.P-PRODESP,3966.42,8727.76,338.35,"0,00",672.2,0.0,3797.38,ATIVOS,JANUARY,2023
AUXILIAR SERV.GERAIS,SEC.MEIO AMB. INFRA.LOGIST.,3942.92,0.0,335.43,"0,00",83.3,0.0,2268.03,ATIVOS,JULY,2023
DIRETOR DE NUCLEO  - REF C3,INST.PESOS MEDID.E.S.P-IPEM/SP,10460.68,0.0,0.0,"0,00",0.0,0.0,5515.92,ATIVOS,JANUARY,2023
TECN.APOIO PESQ.CIENT.TECNOL.,SEC.MEIO AMB. INFRA.LOGIST.,4446.24,0.0,0.0,"0,00",0.0,0.0,2046.62,ATIVOS,AUGUST,2023
DIRETOR TECNICO II,CONTROLADORIA GERAL DO ESTADO,15721.0,0.0,0.0,"0,00",0.0,0.0,10257.91,ATIVOS,APRIL,2023
PESQUISADOR CIENTIFICO VI,SECR.AGRICULTURA ABASTECIMENTO,15156.87,0.0,0.0,"0,00",0.0,0.0,6480.84,ATIVOS,APRIL,2023
ARQUITETO,EMP.METR.TR.URB.SP.S/A-EMTU-SP,9870.88,0.0,0.0,"0,00",0.0,0.0,7061.5,ATIVOS,MARCH,2023
TEC ADM I(E AD1),CETESB-CIA.AMBIENTAL EST.S.P.,7847.29,0.0,0.0,"0,00",0.0,0.0,5260.89,ATIVOS,APRIL,2023
TECNICO ESPECIALIZADO I,INST.PESQ.TEC.EST.SP IPT,4226.25,0.0,0.0,"0,00",0.0,0.0,1635.31,ATIVOS,APRIL,2023
AUXILIAR SERV.GERAIS,DEPART.ESTRADAS RODAGEM DER,3694.39,0.0,0.0,"0,00",0.0,0.0,3219.65,ATIVOS,JULY,2023
ASSESSOR IV,FUND.SIST.EST.ANAL.DADOS SEADE,16650.19,0.0,1734.1,"0,00",0.0,0.0,9746.69,ATIVOS,JUNE,2023
OFICIAL ADMINISTRATIVO,DEPTO. EST. TRANSITO DETRAN SP,2932.5,0.0,0.0,"0,00",193.65,0.0,2077.96,ATIVOS,JANUARY,2023
ASSESSOR TEC. DE GABINETE IV,SECRETARIA INF. MEIO AMBIENTE,9940.1,0.0,0.0,"0,00",0.0,0.0,5029.55,ATIVOS,JANUARY,2023
DIRETOR TECNICO II,SECR.CULTURA ECONOMIA CRIATIVA,5808.23,0.0,0.0,"0,00",56.3,0.0,2680.39,ATIVOS,APRIL,2023
ANALISTA EM GESTAO PREVID. I,SAO PAULO PREVIDENCIA   SPPREV,8977.22,0.0,0.0,"0,00",0.0,0.0,6400.47,ATIVOS,MARCH,2023
AUXILIAR DE ENFERMAGEM,FUND.PRO-SANGUE-HEMOCENTRO S.P,3920.34,0.0,0.0,"0,00",0.0,0.0,3344.49,ATIVOS,FEBRUARY,2023
CONSELHEIRO DE ADMINISTRACAO,EMAE EMP.MET.AGUAS ENERGIA S/A,13163.59,0.0,0.0,"0,00",0.0,0.0,9814.24,ATIVOS,APRIL,2023
ASSESSOR TECNICO III,SECR.CULTURA ECONOMIA CRIATIVA,3614.74,0.0,0.0,"0,00",152.71,0.0,3198.31,ATIVOS,FEBRUARY,2023
ASSESSOR EXECUTIVO,CIA.DES.HAB.URB.EST.S.P.-CDHU,20570.83,0.0,0.0,"0,00",0.0,0.0,12872.28,ATIVOS,AUGUST,2023
PROCURADOR DO ESTADO NIVEL V,PROCURADORIA GERAL DO ESTADO,55244.28,0.0,0.0,"0,00",5436.32,-19782.06,27306.41,ATIVOS,JANUARY,2023
ASSESSOR EXECUTIVO,FUNDACAO PROCON,16732.47,0.0,0.0,"0,00",0.0,0.0,9694.71,ATIVOS,AUGUST,2023
AUX. SERVICOS ADMINISTRATIVOS,FUND.PF.DR.M.P.PIMENTEL-FUNAP,3807.91,0.0,0.0,"0,00",0.0,0.0,2352.51,ATIVOS,JANUARY,2023
TEC OBRAS 2,DERSA DESENVOLVIM.RODOV.S.A.,7969.87,0.0,0.0,"0,00",0.0,0.0,5263.57,ATIVOS,MAY,2023
AGENTE DE APOIO OPERACIONAL,FUNDACAO ONCOCENTRO SAO PAULO,2230.21,99.12,0.0,"0,00",0.0,0.0,1895.67,ATIVOS,FEBRUARY,2023
MEDICO,FUND.PRO-SANGUE-HEMOCENTRO S.P,19005.47,0.0,0.0,"0,00",0.0,0.0,13958.72,ATIVOS,MARCH,2023
PROFESSOR EDUCACAO BASICA II,SECRETARIA DA EDUCACAO,6294.1,0.0,0.0,"0,00",0.0,0.0,4319.58,ATIVOS,AUGUST,2023
AG.TELECOM.POL.2A.CLASSE,SECRETARIA SEGURANCA PUBLICA,7220.01,3610.0,0.0,"0,00",993.54,0.0,7921.55,ATIVOS,AUGUST,2023
ASSESSOR TECNICO III,DEPTO.AGUAS ENER.ELETRICA DAEE,8837.53,0.0,0.0,"0,00",0.0,0.0,6637.39,ATIVOS,JUNE,2023
MEDICO I,H.C.FAC.MED.BOTUCATU-HCFMB,14046.83,0.0,0.0,"0,00",0.0,0.0,9860.32,ATIVOS,JUNE,2023
ESPEC.REGULACAO DE TRANSP. III,AG.REG.SERV.PUB.DEL.TR.EST.SP,14284.76,0.0,0.0,"0,00",0.0,0.0,9991.4,ATIVOS,JUNE,2023
SUPERINTENDENTE DE AREA,AG.REG.SV.P.DEL.TR.E.SP ARTESP,14028.03,0.0,0.0,"0,00",0.0,0.0,8882.18,ATIVOS,JANUARY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA DA SAUDE,2248.14,0.0,0.0,"0,00",0.0,0.0,2036.91,ATIVOS,MAY,2023
TEC. EM DESENV.FUND. I B,FITESP-JOSE GOMES DA SILVA,2880.92,0.0,0.0,"0,00",0.0,0.0,2552.59,ATIVOS,APRIL,2023
TECNICO EM GESTAO PREVID. I,SAO PAULO PREVIDENCIA   SPPREV,3078.81,0.0,0.0,"0,00",0.0,0.0,2579.79,ATIVOS,JANUARY,2023
CONSELHEIRO DE ADMINISTRACAO,CIA.PAULIS.SECURITIZACAO CPSEC,9872.69,0.0,0.0,"0,00",0.0,0.0,8079.2,ATIVOS,APRIL,2023
AGENTE DE DESENV. SOCIAL,SECRETARIA DESENVOLV. SOCIAL,2765.93,1382.96,0.0,"0,00",150.84,0.0,3724.55,ATIVOS,MAY,2023
TEC AMB II(E LAB),CETESB-CIA.AMBIENTAL EST.S.P.,11189.08,0.0,12966.42,"0,00",0.0,0.0,20221.89,ATIVOS,JUNE,2023
AGENTE TECNICO ASSIST. A SAUDE,INST MED SOC CRIMINO SP- IMESC,4111.35,0.0,0.0,"0,00",117.25,0.0,2938.74,ATIVOS,MAY,2023
OPERADOR FERROVIARIO,SEC.TRANSPORTES METROPOLITANOS,2466.53,2908.5,0.0,"0,00",0.0,0.0,3519.12,ATIVOS,JANUARY,2023
COORDENADOR,SECRETARIA ORCAMENTO E GESTAO,16121.3,0.0,-0.54,"0,00",0.0,0.0,10507.86,ATIVOS,JANUARY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA DE ESPORTES,5747.89,0.0,0.0,"0,00",717.06,0.0,2252.41,ATIVOS,JULY,2023
TECNICO EM METROLOGIA E QUALID,INST.PESOS MEDID.E.S.P-IPEM/SP,4302.95,0.0,0.0,"0,00",0.0,0.0,3268.43,ATIVOS,JUNE,2023
OFICIAL DE SAUDE,H.C.FAC.MED.BOTUCATU-HCFMB,2143.4,0.0,0.0,"0,00",59.82,0.0,1307.56,ATIVOS,APRIL,2023
FREZADOR (Q.ESP),SECRET. CIENCIA  TEC. INOVACAO,9922.84,0.0,1857.78,"0,00",0.0,0.0,7798.15,ATIVOS,AUGUST,2023
AG DE SEGURANCA,C.P.TRENS METROPOLITANOS-CPTM,6723.71,0.0,0.0,"0,00",0.0,0.0,5027.34,ATIVOS,JULY,2023
ASSISTENTE TECNICO DE  DIRE AO,INST.PESOS MEDID.E.S.P-IPEM/SP,7001.56,0.0,0.0,"0,00",0.0,0.0,5376.65,ATIVOS,JULY,2023
PESQUISADOR CIENTIFICO V,SECRETARIA INF. MEIO AMBIENTE,28275.7,0.0,0.0,"0,00",4286.49,0.0,20349.89,ATIVOS,JANUARY,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROC.DADOS EST.S.P-PRODESP,14092.83,0.0,0.0,"0,00",31.75,0.0,10423.82,ATIVOS,FEBRUARY,2023
AUX. TECNICO LABORATORIO ANALI,FUND.PRO-SANGUE-HEMOCENTRO S.P,6970.88,0.0,0.0,"0,00",37.48,0.0,5334.99,ATIVOS,AUGUST,2023
ASSESSOR I,DEPART.ESTRADAS RODAGEM DER,1490.77,0.0,0.0,"0,00",244.95,0.0,1524.2,ATIVOS,MARCH,2023
ARQUIVISTA MIDIA LID,FUND.PE.ANCHIETA-C.P.RADIO TV.,4376.82,0.0,0.0,"0,00",0.0,0.0,2454.54,ATIVOS,MARCH,2023
ANALISTA TRAINEE -NA,INST.PESQ.TEC.EST.SP IPT,6318.06,0.0,0.0,"0,00",0.0,0.0,3295.81,ATIVOS,MARCH,2023
OFICIAL ADMINISTRATIVO,HC FAC MEDICINA RIB PRETO USP,3957.4,144.18,0.0,"0,00",0.0,0.0,2175.23,ATIVOS,JUNE,2023
AUXILIAR SERV.GERAIS,SEC.MEIO AMB. INFRA.LOGIST.,3921.46,0.0,0.0,"0,00",596.06,0.0,3503.47,ATIVOS,AUGUST,2023
PROFESSOR EDUCACAO BASICA II,SECRETARIA DA EDUCACAO,4872.65,2436.32,-68.57,"0,00",0.0,0.0,4843.24,ATIVOS,AUGUST,2023
ENFERMEIRO,SECRETARIA DA SAUDE,4978.48,0.0,0.0,"0,00",240.79,0.0,4245.65,ATIVOS,JUNE,2023
PROF ENSINO FUNDAMENTAL/MEDIO,SECRETARIA DA EDUCACAO,4637.5,0.0,0.0,"0,00",0.0,0.0,3889.42,ATIVOS,AUGUST,2023
OUTROS VINCULOS,SECRET.GOVERNO RELAC.INSTITUC.,5806.35,0.0,1214.4,"0,00",0.0,0.0,5517.41,ATIVOS,MARCH,2023
OFICIAL ADMINISTRATIVO,DEPT.ESTAD.TRANSITO DETRAN SP,3244.85,0.0,0.0,"0,00",262.9,0.0,2957.67,ATIVOS,AUGUST,2023
DIRETOR TECNICO II,SECRET.GOVERNO RELAC.INSTITUC.,5018.68,836.44,0.0,"0,00",14.25,0.0,4361.39,ATIVOS,JUNE,2023
TEC. EM DESENV.AGRARIO IV C,FITESP-JOSE GOMES DA SILVA,5023.88,0.0,0.0,"0,00",0.0,0.0,2499.42,ATIVOS,AUGUST,2023
ENGENHEIRO I,EMAE EMP.MET.AGUAS ENERGIA S/A,13574.1,0.0,0.0,"0,00",0.0,0.0,4729.69,ATIVOS,JUNE,2023
RELACOES PUBLICAS,FUND.SIST.EST.ANAL.DADOS SEADE,6027.55,7032.15,1270.93,"0,00",0.0,0.0,5484.07,ATIVOS,JANUARY,2023
ADVOGADO,FUND.PF.DR.M.P.PIMENTEL-FUNAP,4346.91,1763.96,0.0,"0,00",0.0,0.0,2918.16,ATIVOS,FEBRUARY,2023
AUXILIAR SERV.GERAIS,SECR.DESENVOLVIMENTO ECONOMICO,2754.06,1377.03,0.0,"0,00",673.68,0.0,2846.81,ATIVOS,AUGUST,2023
SECRETARIA III,EMAE EMP.MET.AGUAS ENERGIA S/A,10132.8,0.0,0.0,"0,00",0.0,0.0,1877.53,ATIVOS,MARCH,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROC.DADOS EST.S.P-PRODESP,10526.32,0.0,0.0,"0,00",0.0,0.0,7278.7,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA POLIT. P/ MULHER,2474.1,1237.05,0.0,"0,00",203.55,0.0,3306.56,ATIVOS,JULY,2023
ASSESSOR TECN REGISTRO PUBL.,JUNTA COMERC.E.S.PAULO-JUCESP,5728.93,0.0,0.0,"0,00",0.0,0.0,2855.41,ATIVOS,MAY,2023
CHEFE I,SECRETARIA DE ESPORTES,2048.61,0.0,0.0,"0,00",176.28,0.0,1087.09,ATIVOS,MARCH,2023
OUTROS VINCULOS,CASA CIVIL,4326.3,1442.1,0.0,"0,00",0.0,0.0,5111.26,ATIVOS,MAY,2023
AUXILIAR ADMINISTRATIVO,FUND.PRO-SANGUE-HEMOCENTRO S.P,2483.74,0.0,0.0,"0,00",0.0,0.0,2144.8,ATIVOS,MAY,2023
GERENTE ADJUNTO,FUND. AMP. PESQ. EST.SP FAPESP,43261.23,0.0,0.0,"0,00",0.0,-8688.34,23801.13,ATIVOS,MAY,2023
OFICIAL ADMINISTRATIVO,JUNTA COMERC.E.S.PAULO-JUCESP,569.25,0.0,0.0,"0,00",0.0,0.0,495.26,ATIVOS,MAY,2023
OFICIAL ADMINISTRATIVO,CASA CIVIL,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,ATIVOS,MAY,2023
AGENTE DE GESTAO OPERACIONAL,EMP.METR.TR.URB.SP.S/A-EMTU-SP,14094.23,7047.12,0.0,"0,00",0.0,0.0,16967.87,ATIVOS,JUNE,2023
PROF.ADJUNTO IV-D,FAC.MED.S.J.R.PRETO-FAMERP,3416.03,0.0,0.0,"0,00",0.0,0.0,2992.17,ATIVOS,FEBRUARY,2023
TECNICO DE ENFERMAGEM,H.C.FAC.MED.BOTUCATU-HCFMB,336.88,0.0,0.0,"0,00",0.0,0.0,336.88,ATIVOS,APRIL,2023
DIRETOR ADJUNTO,AGENCIA METROP.B.SANTISTA AGEM,10248.27,0.0,0.0,"0,00",0.0,0.0,7371.73,ATIVOS,JULY,2023
AUX. TECNICO LABORATORIO ANALI,FUND.PRO-SANGUE-HEMOCENTRO S.P,3527.36,0.0,0.0,"0,00",0.0,0.0,2596.27,ATIVOS,FEBRUARY,2023
MEDICO III,SECRETARIA ORCAMENTO E GESTAO,12549.39,8366.25,0.0,"0,00",2567.14,0.0,14288.3,ATIVOS,JANUARY,2023
PROFESSOR DE ENSINO MED E TEC,C.E.ED.TEC.PAULA SOUZA-CEETEPS,5329.87,0.0,277.99,"0,00",0.0,0.0,0.0,ATIVOS,JANUARY,2023
ENGENHEIRO (Q.ESP),SECRET. CIENCIA  TEC. INOVACAO,20871.78,283.92,162.29,"0,00",0.0,0.0,15090.66,ATIVOS,MAY,2023
TECNICO DE ENFERMAGEM,H.C.FAC.MED.BOTUCATU-HCFMB,4821.98,0.0,0.0,"0,00",0.0,0.0,3600.52,ATIVOS,MARCH,2023
SUPERINTENDENTE DE AREA,AG.REG.SERV.PUB.EST.SP ARSESP,18297.42,0.0,0.0,"0,00",0.0,0.0,12882.66,ATIVOS,MAY,2023
ANALISTA DE REC AMBIENTAIS,FUND.CONS.PR.FLOR.EST.SP F.FL.,7608.29,27291.63,0.0,"0,00",3620.27,0.0,8009.12,ATIVOS,FEBRUARY,2023
ATPC I,FUND.PRE.COM.EST.SP SP PREVCOM,2174.54,7006.85,0.0,"0,00",0.0,0.0,1880.55,ATIVOS,JUNE,2023
TECNICO DE PROTE  O E DEFESA D,FUNDACAO PROCON,3658.99,0.0,0.0,"0,00",0.0,0.0,0.0,ATIVOS,JUNE,2023
TEC REC AMB (CH UC),FUND.CONS.PR.FLOR.EST.SP F.FL.,7945.33,0.0,0.0,"0,00",0.0,0.0,5932.84,ATIVOS,AUGUST,2023
AUX. DE GESTAO ORG. VII C,FITESP-JOSE GOMES DA SILVA,2443.57,0.0,0.0,"0,00",0.0,0.0,2184.81,ATIVOS,APRIL,2023
ENGENHEIRO II,CETESB-CIA.AMBIENTAL EST.S.P.,21828.27,0.0,0.0,"0,00",0.0,0.0,15512.54,ATIVOS,MAY,2023
COORDENADOR,SEC.TRANSPORTES METROPOLITANOS,1184.04,542.68,0.0,"0,00",0.0,0.0,1941.32,ATIVOS,MAY,2023
ENFERMEIRO,HOSP.CLIN.FAC.MED.USP-HCFMUSP,3875.79,0.0,-2583.86,"0,00",0.0,0.0,1124.01,ATIVOS,JUNE,2023
AGENTE DE GESTAO OPERACIONAL,EMP.METR.TR.URB.SP.S/A-EMTU-SP,6194.26,0.0,0.0,"0,00",0.0,0.0,4528.91,ATIVOS,MAY,2023
AUXILIAR DE ENFERMAGEM,HOSP.CLIN.FAC.MED.USP-HCFMUSP,3017.92,0.0,0.0,"0,00",0.0,0.0,1936.3,ATIVOS,JUNE,2023
ASSISTENTE ADMINISTRATIVO,SECRETARIA DESENVOLV. SOCIAL,1616.85,0.0,143.07,"0,00",246.4,0.0,1762.15,ATIVOS,JULY,2023
ASSISTENTE SAC II,"FUND.REM.POP.""C.T.LIMA""-FURP",4421.43,0.0,0.0,"0,00",0.0,0.0,3244.09,ATIVOS,JANUARY,2023
ANAL. SUPORTE A REGULACAO I,AG.REG.SERV.PUB.EST.SP ARSESP,8600.13,4300.07,0.0,"0,00",0.0,0.0,8308.15,ATIVOS,MARCH,2023
BIOLOGISTA,FUND.PRO-SANGUE-HEMOCENTRO S.P,5510.77,2657.92,0.0,"0,00",0.0,0.0,3343.73,ATIVOS,MAY,2023
AUXILIAR DE APOIO AGROPECUARIO,SECR.AGRICULTURA ABASTECIMENTO,2930.11,0.0,0.0,"0,00",12.75,0.0,1179.1,ATIVOS,JANUARY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA JUSTICA E CIDADANIA,2082.32,0.0,0.0,"0,00",191.86,0.0,1307.91,ATIVOS,MARCH,2023
OUTROS VINCULOS,SEC.TRANSPORTES METROPOLITANOS,204.93,0.0,0.0,"0,00",0.0,0.0,204.93,ATIVOS,MARCH,2023
MEDIADOR DE ENSINO PRESENCIAL,FUND.UNIV.VIRT.EST.SP UNIVESP,2700.0,0.0,0.0,"0,00",0.0,0.0,2445.88,ATIVOS,MAY,2023
DIRETOR ADJUNTO,FUNDACAO PROCON,15247.86,0.0,0.0,"0,00",0.0,0.0,11281.06,ATIVOS,JULY,2023
ASSESSOR III,AG.REG.SERV.PUB.EST.SP ARSESP,14129.53,399.89,0.0,"0,00",0.0,0.0,5895.13,ATIVOS,AUGUST,2023
AUXILIAR SERV.GERAIS,SEC.MEIO AMB. INFRA.LOGIST.,3364.84,0.0,268.34,"0,00",153.1,0.0,2223.72,ATIVOS,JULY,2023
DIRETOR TECNICO III,SEC.MEIO AMB. INFRA.LOGIST.,7984.39,0.0,0.0,"0,00",0.0,0.0,4493.78,ATIVOS,AUGUST,2023
ESPECIALISTA EM SISTEMAS EDUCA,FUND.UNIV.VIRT.EST.SP UNIVESP,12176.84,0.0,0.0,"0,00",0.0,0.0,9077.38,ATIVOS,AUGUST,2023
ANAL DESENV SOCIAL E URB JR,CIA.DES.HAB.URB.EST.S.P.-CDHU,7923.89,0.0,0.0,"0,00",0.0,0.0,5460.32,ATIVOS,AUGUST,2023
ASSESSOR TECNICO II,CASA CIVIL,7112.21,0.0,0.0,"0,00",0.0,0.0,5378.37,ATIVOS,APRIL,2023
ESPECIALISTA EM PROTE  O E DEF,FUNDACAO PROCON,6389.2,0.0,0.0,"0,00",0.0,0.0,3300.43,ATIVOS,FEBRUARY,2023
SECRETARIO DE ESTADO,SECRETARIA DE GOVERNO,31115.58,0.0,0.0,"0,00",0.0,0.0,21858.69,ATIVOS,FEBRUARY,2023
OUTROS VINCULOS,SECRET.ADMINISTR.PENITENCIARIA,2466.72,0.0,0.0,"0,00",0.0,0.0,2128.47,ATIVOS,JULY,2023
AUXILIAR SERV.GERAIS,CASA CIVIL,6128.81,0.0,0.0,"0,00",19.47,0.0,3287.66,ATIVOS,APRIL,2023
ASSIST.ADM II DO LATO SENSU,FACULDADE MED. MARILIA FAMEMA,5208.19,0.0,0.0,"0,00",0.0,0.0,4210.1,ATIVOS,APRIL,2023
AUXILIAR DE ENFERMAGEM II,FUNDACAO CASA-SP.,3550.02,0.0,0.0,"0,00",0.0,0.0,2641.46,ATIVOS,APRIL,2023
AG. ESCOLTA E VIGILANCIA PENIT,SECRET.ADMINISTR.PENITENCIARIA,5260.11,0.0,0.0,"0,00",0.0,0.0,2713.47,ATIVOS,JULY,2023
"TEC DE MANUTENCAO, PROJETOS E",C.P.TRENS METROPOLITANOS-CPTM,7834.75,0.0,2490.3,"0,00",0.0,0.0,7997.49,ATIVOS,MARCH,2023
ASSESSOR TECNICO III,SECR.CULTURA ECONOMIA CRIATIVA,4183.99,0.0,0.0,"0,00",65.76,0.0,2300.48,ATIVOS,MAY,2023
AUXILIAR SERV.GERAIS,SECRETARIA JUSTICA E CIDADANIA,2204.48,0.0,0.0,"0,00",184.53,0.0,1743.59,ATIVOS,MAY,2023
TECNICO DE ENFERMAGEM,H.C.FAC.MED.BOTUCATU-HCFMB,4581.3,0.0,0.0,"0,00",0.0,0.0,3767.43,ATIVOS,JANUARY,2023
ASSESSOR - II,FUND.PF.DR.M.P.PIMENTEL-FUNAP,6985.84,0.0,0.0,"0,00",0.0,0.0,5178.6,ATIVOS,FEBRUARY,2023
